                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.35175,                 0.3648,                0.87373,                0.95632,                0.96296,                 0.9594,                0.94235,                0.24558,                 0.2703,                 0.8071,               0.001307,               0.001307,               0.001307
                     37,                 0.3625,                0.37107,                0.88098,                0.95354,                0.96296,                0.95383,                0.93148,                0.24319,                0.28506,                0.81376,              0.0012872,              0.0012872,              0.0012872
                     38,                0.36148,                 0.3736,                0.88156,                0.96287,                0.96296,                0.96656,                0.94803,                0.24308,                0.27272,                0.81123,              0.0012674,              0.0012674,              0.0012674
                     39,                0.35054,                0.34042,                 0.8661,                0.96289,                0.96296,                 0.9622,                0.94967,                0.22683,                0.26329,                 0.8086,              0.0012476,              0.0012476,              0.0012476
                     40,                0.32232,                0.33634,                0.86837,                 0.9627,                0.96296,                0.96119,                 0.9458,                0.23776,                0.26414,                0.81092,              0.0012278,              0.0012278,              0.0012278
                     41,                0.35598,                0.37349,                0.88194,                 0.9629,                0.96296,                0.96003,                0.93997,                0.24915,                0.26644,                0.81177,               0.001208,               0.001208,               0.001208
                     42,                0.34598,                0.37479,                0.88034,                0.96284,                0.96296,                0.95885,                 0.9406,                0.25412,                0.26391,                0.81799,              0.0011882,              0.0011882,              0.0011882
                     43,                0.33115,                0.35142,                0.87374,                 0.9618,                0.96296,                0.95774,                0.93484,                0.25552,                0.27374,                0.83887,              0.0011684,              0.0011684,              0.0011684
                     44,                0.32021,                0.32707,                0.87724,                0.96049,                0.96296,                0.95762,                0.94266,                0.23034,                0.25974,                  0.813,              0.0011486,              0.0011486,              0.0011486
                     45,                0.32279,                0.33601,                0.86212,                0.96273,                0.96296,                0.96213,                 0.9494,                 0.2387,                0.26653,                0.81899,              0.0011288,              0.0011288,              0.0011288
